experiment,train_datasets,eval_dataset,model,train_samples,val_samples,test_samples,val_accuracy,val_macro_f1,test_accuracy,test_macro_f1,fit_seconds
optional_combined_train,identity+shot_noise+rotate,identity,mlp_2hidden,19200,4800,10000,0.9470833333333334,0.9465739447158406,0.9516,0.9510116172546995,2.748448000000053
optional_combined_train,identity+shot_noise+rotate,shot_noise,mlp_2hidden,19200,4800,10000,0.9470833333333334,0.9465739447158406,0.932,0.931042595625058,2.748448000000053
optional_combined_train,identity+shot_noise+rotate,impulse_noise,mlp_2hidden,19200,4800,10000,0.9470833333333334,0.9465739447158406,0.1091,0.0883085561649498,2.748448000000053
optional_combined_train,identity+shot_noise+rotate,glass_blur,mlp_2hidden,19200,4800,10000,0.9470833333333334,0.9465739447158406,0.8026,0.803353378765601,2.748448000000053
optional_combined_train,identity+shot_noise+rotate,motion_blur,mlp_2hidden,19200,4800,10000,0.9470833333333334,0.9465739447158406,0.3815,0.3740466785508786,2.748448000000053
optional_combined_train,identity+shot_noise+rotate,shear,mlp_2hidden,19200,4800,10000,0.9470833333333334,0.9465739447158406,0.6683,0.6728778263794647,2.748448000000053
optional_combined_train,identity+shot_noise+rotate,scale,mlp_2hidden,19200,4800,10000,0.9470833333333334,0.9465739447158406,0.3649,0.2994491041819967,2.748448000000053
optional_combined_train,identity+shot_noise+rotate,rotate,mlp_2hidden,19200,4800,10000,0.9470833333333334,0.9465739447158406,0.9193,0.9182261261415068,2.748448000000053
optional_combined_train,identity+shot_noise+rotate,brightness,mlp_2hidden,19200,4800,10000,0.9470833333333334,0.9465739447158406,0.101,0.018350290697674417,2.748448000000053
optional_combined_train,identity+shot_noise+rotate,translate,mlp_2hidden,19200,4800,10000,0.9470833333333334,0.9465739447158406,0.161,0.14634922012284865,2.748448000000053
optional_combined_train,identity+shot_noise+rotate,stripe,mlp_2hidden,19200,4800,10000,0.9470833333333334,0.9465739447158406,0.101,0.01834695731153497,2.748448000000053
optional_combined_train,identity+shot_noise+rotate,fog,mlp_2hidden,19200,4800,10000,0.9470833333333334,0.9465739447158406,0.1014,0.02094883303999523,2.748448000000053
optional_combined_train,identity+shot_noise+rotate,spatter,mlp_2hidden,19200,4800,10000,0.9470833333333334,0.9465739447158406,0.1469,0.13437804015209667,2.748448000000053
optional_combined_train,identity+shot_noise+rotate,dotted_line,mlp_2hidden,19200,4800,10000,0.9470833333333334,0.9465739447158406,0.4323,0.43871433311294544,2.748448000000053
optional_combined_train,identity+shot_noise+rotate,zigzag,mlp_2hidden,19200,4800,10000,0.9470833333333334,0.9465739447158406,0.3484,0.3534947093793407,2.748448000000053
optional_combined_train,identity+shot_noise+rotate,canny_edges,mlp_2hidden,19200,4800,10000,0.9470833333333334,0.9465739447158406,0.627,0.6321376960536952,2.748448000000053
