dataset,hidden_layer_sizes,alpha,learning_rate_init,val_accuracy,val_macro_f1,train_seconds
identity,"(128,)",0.0001,0.003,0.76,0.75213125039212,0.031
identity,"(128,)",0.001,0.003,0.76,0.75213125039212,0.032
identity,"(64,)",0.0001,0.003,0.74,0.7295982049986627,0.021
identity,"(64,)",0.001,0.003,0.74,0.7295982049986627,0.022
identity,"(128, 64)",0.0001,0.003,0.74,0.7276141440557916,0.038
identity,"(128, 64)",0.001,0.003,0.74,0.7276141440557916,0.038
identity,"(128, 64)",0.0001,0.001,0.71,0.7013028839115795,0.04
identity,"(128, 64)",0.001,0.001,0.71,0.7013028839115795,0.037
identity,"(128,)",0.0001,0.001,0.69,0.6801000910144133,0.03
identity,"(128,)",0.001,0.001,0.69,0.6801000910144133,0.032
identity,"(64,)",0.0001,0.001,0.62,0.5977212282042002,0.023
identity,"(64,)",0.001,0.001,0.62,0.5977212282042002,0.022
