experiment,train_dataset,eval_dataset,model,train_samples,val_samples,test_samples,val_accuracy,val_macro_f1,test_accuracy,test_macro_f1,fit_seconds
required_same_corruption,identity,identity,mlp_1hidden,12000,3000,10000,0.938,0.9374048293887348,0.9418,0.9411459410642722,0.7885859000000437
identity_to_noise,identity,shot_noise,mlp_1hidden,12000,3000,10000,0.938,0.9374048293887348,0.9229,0.92191816623303,0.7885859000000437
identity_to_noise,identity,rotate,mlp_1hidden,12000,3000,10000,0.938,0.9374048293887348,0.7101,0.7073631205239221,0.7885859000000437
required_same_corruption,identity,identity,mlp_2hidden,12000,3000,10000,0.9456666666666667,0.9451391673839206,0.9486,0.9479983287960666,1.373823899999934
identity_to_noise,identity,shot_noise,mlp_2hidden,12000,3000,10000,0.9456666666666667,0.9451391673839206,0.9308,0.9297831796439855,1.373823899999934
identity_to_noise,identity,rotate,mlp_2hidden,12000,3000,10000,0.9456666666666667,0.9451391673839206,0.7296,0.7271124195376851,1.373823899999934
required_same_corruption,identity,identity,pca_mlp,12000,3000,10000,0.904,0.9029690418740716,0.9103,0.9089905200955807,0.6559985999999753
identity_to_noise,identity,shot_noise,pca_mlp,12000,3000,10000,0.904,0.9029690418740716,0.8945,0.8928040915758289,0.6559985999999753
identity_to_noise,identity,rotate,pca_mlp,12000,3000,10000,0.904,0.9029690418740716,0.6291,0.6270099026010211,0.6559985999999753
required_same_corruption,shot_noise,shot_noise,mlp_1hidden,12000,3000,10000,0.919,0.9180330394320186,0.923,0.9220434184077908,0.7448030000000472
required_same_corruption,shot_noise,shot_noise,mlp_2hidden,12000,3000,10000,0.9253333333333333,0.9245744795879395,0.9319,0.9310176390616901,1.2610932000000048
required_same_corruption,shot_noise,shot_noise,pca_mlp,12000,3000,10000,0.8916666666666667,0.8902418533190041,0.8986,0.8971743063018096,0.69000630000005
required_same_corruption,rotate,rotate,mlp_1hidden,12000,3000,10000,0.9246666666666666,0.9238522133024659,0.9229,0.9219019175666533,0.8219486999998935
required_same_corruption,rotate,rotate,mlp_2hidden,12000,3000,10000,0.9293333333333333,0.9285211929589773,0.9291,0.9283910021647126,1.5665145999998913
required_same_corruption,rotate,rotate,pca_mlp,12000,3000,10000,0.8633333333333333,0.8611664710662709,0.8682,0.8657086373633758,0.7104623000000174
